Area_Name,Crime_Year,Crime_Month,Crime_Count
77Th Street,2020,1,873
77Th Street,2020,2,738
77Th Street,2020,3,702
77Th Street,2020,4,724
77Th Street,2020,5,717
77Th Street,2020,6,765
77Th Street,2020,7,754
77Th Street,2020,8,837
77Th Street,2020,9,728
77Th Street,2020,10,230
Central,2020,1,815
Central,2020,2,758
Central,2020,3,676
Central,2020,4,537
Central,2020,5,752
Central,2020,6,590
Central,2020,7,633
Central,2020,8,701
Central,2020,9,631
Central,2020,10,138
Devonshire,2020,9,1
Foothill,2020,8,1
Harbor,2020,1,515
Harbor,2020,2,485
Harbor,2020,3,491
Harbor,2020,4,510
Harbor,2020,5,527
Harbor,2020,6,517
Harbor,2020,7,536
Harbor,2020,8,485
Harbor,2020,9,486
Harbor,2020,10,150
Hollenbeck,2020,1,516
Hollenbeck,2020,2,432
Hollenbeck,2020,3,468
Hollenbeck,2020,4,419
Hollenbeck,2020,5,466
Hollenbeck,2020,6,453
Hollenbeck,2020,7,453
Hollenbeck,2020,8,447
Hollenbeck,2020,9,443
Hollenbeck,2020,10,121
Hollywood,2020,1,598
Hollywood,2020,2,630
Hollywood,2020,3,532
Hollywood,2020,4,542
Hollywood,2020,5,582
Hollywood,2020,6,487
Hollywood,2020,7,602
Hollywood,2020,8,624
Hollywood,2020,9,540
Hollywood,2020,10,165
Mission,2020,3,1
N Hollywood,2020,1,1
N Hollywood,2020,5,1
N Hollywood,2020,6,1
N Hollywood,2020,8,1
Newton,2020,1,588
Newton,2020,2,546
Newton,2020,3,498
Newton,2020,4,386
Newton,2020,5,34
Newton,2020,6,27
Newton,2020,7,22
Newton,2020,8,21
Newton,2020,9,18
Newton,2020,10,4
Northeast,2020,1,570
Northeast,2020,2,490
Northeast,2020,3,483
Northeast,2020,4,513
Northeast,2020,5,543
Northeast,2020,6,518
Northeast,2020,7,495
Northeast,2020,8,441
Northeast,2020,9,451
Northeast,2020,10,114
Olympic,2020,1,1
Olympic,2020,3,1
Olympic,2020,6,1
Pacific,2020,8,1
Pacific,2020,9,1
Rampart,2020,1,525
Rampart,2020,2,525
Rampart,2020,3,489
Rampart,2020,4,515
Rampart,2020,5,507
Rampart,2020,6,556
Rampart,2020,7,539
Rampart,2020,8,485
Rampart,2020,9,507
Rampart,2020,10,131
Southwest,2020,1,751
Southwest,2020,2,688
Southwest,2020,3,653
Southwest,2020,4,613
Southwest,2020,5,641
Southwest,2020,6,631
Southwest,2020,7,649
Southwest,2020,8,657
Southwest,2020,9,584
Southwest,2020,10,170
Van Nuys,2020,1,561
Van Nuys,2020,2,533
Van Nuys,2020,3,506
Van Nuys,2020,4,507
Van Nuys,2020,5,487
Van Nuys,2020,6,588
Van Nuys,2020,7,478
Van Nuys,2020,8,522
Van Nuys,2020,9,459
Van Nuys,2020,10,137
West La,2020,1,536
West La,2020,2,478
West La,2020,3,520
West La,2020,4,515
West La,2020,5,606
West La,2020,6,525
West La,2020,7,527
West La,2020,8,507
West La,2020,9,490
West La,2020,10,164
West Valley,2020,1,590
West Valley,2020,2,496
West Valley,2020,3,426
West Valley,2020,4,398
West Valley,2020,5,448
West Valley,2020,6,474
West Valley,2020,7,424
West Valley,2020,8,454
West Valley,2020,9,438
West Valley,2020,10,124
Wilshire,2020,1,589
Wilshire,2020,2,517
Wilshire,2020,3,472
Wilshire,2020,4,450
Wilshire,2020,5,783
Wilshire,2020,6,495
Wilshire,2020,7,544
Wilshire,2020,8,476
Wilshire,2020,9,495
Wilshire,2020,10,150
